#title: Spectral profile - NGC_1052_SPW1.image.pbcor-raster
#region (world): Point[[02:41:04.798, -08d15m20.751]]
#region (pixel): Point[[256, 256]]
#coordinate: world
#xLabel: radio velocity [km/s]
#yLabel: [Jy/beam] Mean
# restfreq='231.90093GHz' H30alpha

# NGC_1052_SPW1.image.pbcor-raster
2.667757812500e+03 4.908464252949e-01
2.647559326172e+03 4.912237524986e-01
2.627360839844e+03 4.915582835674e-01
2.607162597656e+03 4.912488162518e-01
2.586964111328e+03 4.915183484554e-01
2.566765869141e+03 4.908671379089e-01
2.546567382812e+03 4.903196990490e-01
2.526368896484e+03 4.908202588558e-01
2.506170654297e+03 4.911879003048e-01
2.485972167969e+03 4.909532368183e-01
2.465773681641e+03 4.907771646976e-01
2.445575439453e+03 4.905761480331e-01
2.425376953125e+03 4.905841648579e-01
2.405178466797e+03 4.907895624638e-01
2.384980224609e+03 4.906814992428e-01
2.364781738281e+03 4.902814924717e-01
2.344583496094e+03 4.901663959026e-01
2.324385009766e+03 4.900520443916e-01
2.304186523438e+03 4.897188544273e-01
2.283988281250e+03 4.896489679813e-01
2.263789794922e+03 4.901565909386e-01
2.243591308594e+03 4.907009005547e-01
2.223393066406e+03 4.906493723392e-01
2.203194580078e+03 4.908788800240e-01
2.182996093750e+03 4.914730191231e-01
2.162797851562e+03 4.913847148418e-01
2.142599365234e+03 4.908754825592e-01
2.122401123047e+03 4.906210601330e-01
2.102202636719e+03 4.908059835434e-01
2.082004150391e+03 4.913245737553e-01
2.061805908203e+03 4.914817214012e-01
2.041607421875e+03 4.909932911396e-01
2.021409057617e+03 4.905006885529e-01
2.001210693359e+03 4.906635582447e-01
1.981012207031e+03 4.911759495735e-01
1.960813842773e+03 4.913402497768e-01
1.940615478516e+03 4.914177954197e-01
1.920417114258e+03 4.916707277298e-01
1.900218627930e+03 4.917489588261e-01
1.880020263672e+03 4.918028414249e-01
1.859821899414e+03 4.916815459728e-01
1.839623413086e+03 4.912959337234e-01
1.819425048828e+03 4.912928640842e-01
1.799226684570e+03 4.912682771683e-01
1.779028320312e+03 4.908651709557e-01
1.758829833984e+03 4.908007085323e-01
1.738631469727e+03 4.911469519138e-01
1.718433105469e+03 4.913558661938e-01
1.698234741211e+03 4.915561676025e-01
1.678036254883e+03 4.918232858181e-01
1.657837890625e+03 4.919525980949e-01
1.637639526367e+03 4.920049607754e-01
1.617441040039e+03 4.919396936893e-01
1.597242675781e+03 4.915916025639e-01
1.577044311523e+03 4.912052154541e-01
1.556845947266e+03 4.912350475788e-01
1.536647460938e+03 4.915630817413e-01
1.516449096680e+03 4.917975366116e-01
1.496250732422e+03 4.922639429569e-01
1.476052368164e+03 4.928907454014e-01
1.455853881836e+03 4.926849007607e-01
1.435655517578e+03 4.921189844608e-01
1.415457153320e+03 4.919329285622e-01
1.395258789062e+03 4.918929338455e-01
1.375060302734e+03 4.920333325863e-01
1.354861938477e+03 4.919019043446e-01
1.334663574219e+03 4.914891123772e-01
1.314465087891e+03 4.915196895599e-01
1.294266723633e+03 4.919945895672e-01
1.274068359375e+03 4.919759333134e-01
1.253869995117e+03 4.915372133255e-01
1.233671508789e+03 4.916846454144e-01
1.213473144531e+03 4.919172227383e-01
1.193274780273e+03 4.918009340763e-01
1.173076416016e+03 4.917477369308e-01
1.152877929688e+03 4.917927086353e-01
1.132679565430e+03 4.915962517262e-01
1.112481201172e+03 4.913786947727e-01
1.092282836914e+03 4.912084341049e-01
1.072084350586e+03 4.909972846508e-01
1.051885986328e+03 4.912623167038e-01
1.031687622070e+03 4.916404783726e-01
1.011489196777e+03 4.918215572834e-01
9.912907714844e+02 4.916426539421e-01
9.710924072266e+02 4.916146993637e-01
9.508939819336e+02 4.916103482246e-01
9.306956176758e+02 4.910672307014e-01
9.104971923828e+02 4.908495247364e-01
8.902988281250e+02 4.911443889141e-01
8.701004028320e+02 4.911584854126e-01
8.499020385742e+02 4.904766380787e-01
8.297036132812e+02 4.893895685673e-01
8.095052490234e+02 4.893263876438e-01
7.893068237305e+02 4.900523424149e-01
7.691084594727e+02 4.903265237808e-01
7.489100341797e+02 4.905481636524e-01
7.287116088867e+02 4.904028773308e-01
7.085132446289e+02 4.900397062302e-01
6.883148193359e+02 4.895681440830e-01
6.681164550781e+02 4.893663525581e-01
6.479180297852e+02 4.899468421936e-01
6.277196655273e+02 4.900925755501e-01
6.075212402344e+02 4.898084700108e-01
5.873228759766e+02 4.896546602249e-01
5.671244506836e+02 4.890331327915e-01
5.469260864258e+02 4.883027374744e-01
5.267276611328e+02 4.884617924690e-01
5.065292663574e+02 4.892393946648e-01
4.863308715820e+02 4.892050027847e-01
4.661324768066e+02 4.887317419052e-01
4.459340820312e+02 4.885599315166e-01
4.257356872559e+02 4.881203174591e-01
4.055372924805e+02 4.878499209881e-01
3.853388977051e+02 4.882884025574e-01
3.651405029297e+02 4.888110160828e-01
3.449421081543e+02 4.890305101871e-01
3.247436828613e+02 4.893980026245e-01
3.045452880859e+02 4.900186061859e-01
2.843468933105e+02 4.901785850525e-01
2.641484985352e+02 4.899436235428e-01
2.439501037598e+02 4.899322390556e-01
2.237517089844e+02 4.901649653912e-01
