#title: Spectral profile - NGC_1052_SPW1.image.pbcor-raster
#region (world): Point[[02:41:04.798, -08d15m20.751]]
#region (pixel): Point[[256, 256]]
#coordinate: world
#xLabel: radio velocity [km/s]
#yLabel: [Jy/beam] Mean
# restfreq='353.622753GHz' H26alpha

# NGC_1052_SPW1.image.pbcor-raster
2.259508300781e+03 4.422149956226e-01
2.246262451172e+03 4.425142407417e-01
2.233016357422e+03 4.428246915340e-01
2.219770507812e+03 4.424758851528e-01
2.206524658203e+03 4.428597092628e-01
2.193278808594e+03 4.434871375561e-01
2.180032958984e+03 4.441861808300e-01
2.166787109375e+03 4.438864588737e-01
2.153541259766e+03 4.432712495327e-01
2.140295410156e+03 4.425989687443e-01
2.127049560547e+03 4.424370527267e-01
2.113803710938e+03 4.429952204227e-01
2.100557617188e+03 4.429902136326e-01
2.087311767578e+03 4.434036612511e-01
2.074065917969e+03 4.435303509235e-01
2.060820068359e+03 4.431807100773e-01
2.047574218750e+03 4.431281387806e-01
2.034328369141e+03 4.430369734764e-01
2.021082519531e+03 4.432525932789e-01
2.007836547852e+03 4.433490037918e-01
1.994590698242e+03 4.434759914875e-01
1.981344848633e+03 4.431911110878e-01
1.968098999023e+03 4.426757693291e-01
1.954853149414e+03 4.427756071091e-01
1.941607177734e+03 4.431036710739e-01
1.928361328125e+03 4.435735642910e-01
1.915115478516e+03 4.433647394180e-01
1.901869628906e+03 4.430085718632e-01
1.888623779297e+03 4.424705505371e-01
1.875377807617e+03 4.417574703693e-01
1.862131958008e+03 4.419790208340e-01
1.848886108398e+03 4.425218403339e-01
1.835640258789e+03 4.430105090141e-01
1.822394409180e+03 4.432163834572e-01
1.809148437500e+03 4.428112208843e-01
1.795902587891e+03 4.424226582050e-01
1.782656738281e+03 4.425367414951e-01
1.769410888672e+03 4.426417946815e-01
1.756165039062e+03 4.422388970852e-01
1.742919067383e+03 4.417418539524e-01
1.729673217773e+03 4.416823387146e-01
1.716427368164e+03 4.416959285736e-01
1.703181518555e+03 4.414326548576e-01
1.689935668945e+03 4.416971802711e-01
1.676689697266e+03 4.421325922012e-01
1.663443847656e+03 4.421734809875e-01
1.650197998047e+03 4.426636695862e-01
1.636952148438e+03 4.428461194038e-01
1.623706176758e+03 4.425964355469e-01
1.610460327148e+03 4.424978792667e-01
1.597214477539e+03 4.421217143536e-01
1.583968627930e+03 4.422059357166e-01
1.570722778320e+03 4.424671232700e-01
1.557476806641e+03 4.423955976963e-01
1.544230957031e+03 4.425380825996e-01
1.530985107422e+03 4.423819780350e-01
1.517739257812e+03 4.418325424194e-01
1.504493408203e+03 4.413508474827e-01
1.491247436523e+03 4.405149221420e-01
1.478001586914e+03 4.408516585827e-01
1.464755737305e+03 4.420477747917e-01
1.451509887695e+03 4.419161975384e-01
1.438264038086e+03 4.413394629955e-01
1.425018066406e+03 4.412008821964e-01
1.411772216797e+03 4.413032829762e-01
1.398526367188e+03 4.408876895905e-01
1.385280517578e+03 4.401124715805e-01
1.372034667969e+03 4.406246244907e-01
1.358788696289e+03 4.412303566933e-01
1.345542846680e+03 4.410217702389e-01
1.332296997070e+03 4.410046935081e-01
1.319051147461e+03 4.415985643864e-01
1.305805297852e+03 4.413721263409e-01
1.292559326172e+03 4.405757486820e-01
1.279313476562e+03 4.398676156998e-01
1.266067626953e+03 4.395850896835e-01
1.252821777344e+03 4.403946697712e-01
1.239575927734e+03 4.407646059990e-01
1.226329956055e+03 4.404168725014e-01
1.213084106445e+03 4.405197501183e-01
1.199838256836e+03 4.405907094479e-01
1.186592407227e+03 4.411025345325e-01
1.173346435547e+03 4.421979188919e-01
1.160100585938e+03 4.422303438187e-01
1.146854736328e+03 4.417658448219e-01
1.133608886719e+03 4.417186379433e-01
1.120363037109e+03 4.404354095459e-01
1.107117065430e+03 4.382089674473e-01
1.093871215820e+03 4.375489950180e-01
1.080625366211e+03 4.381133913994e-01
1.067379516602e+03 4.388023614883e-01
1.054133666992e+03 4.390541017056e-01
1.040887695312e+03 4.380611777306e-01
1.027641845703e+03 4.373733401299e-01
1.014395996094e+03 4.376195371151e-01
1.001150146484e+03 4.378245174885e-01
9.879042358398e+02 4.376570582390e-01
9.746583862305e+02 4.366464018822e-01
9.614124755859e+02 4.358344674110e-01
9.481666259766e+02 4.350849986076e-01
9.349207763672e+02 4.337319135666e-01
9.216748657227e+02 4.321531951427e-01
9.084290161133e+02 4.298450350761e-01
8.951831054688e+02 4.268022179604e-01
8.819372558594e+02 4.228220283985e-01
8.686914062500e+02 4.188882708549e-01
8.554454956055e+02 4.141027927399e-01
8.421996459961e+02 4.076379239559e-01
8.289537353516e+02 4.012955725193e-01
8.157078857422e+02 3.959586322308e-01
8.024619750977e+02 3.900601267815e-01
7.892161254883e+02 3.834269642830e-01
7.759702758789e+02 3.793416917324e-01
7.627243652344e+02 3.779980242252e-01
7.494785156250e+02 3.779474794865e-01
7.362326049805e+02 3.797321021557e-01
7.229867553711e+02 3.849278986454e-01
7.097409057617e+02 3.925323486328e-01
6.964949951172e+02 4.001322984695e-01
6.832491455078e+02 4.081940948963e-01
6.700032348633e+02 4.155521392822e-01
6.567573852539e+02 4.216941595078e-01
